CAMPEONATO BRASILEIRO DE PARAPENTE 2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-01 to 2021-12-31, no FAI sanctioning",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
OVERRAL RESULTS - PRO,,,,,,,,,,,,,,,,,,,,,,,
Total results (FTV: 25%),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Task,Date,"Distance
[km]",FTV Validity,,,,,,,,,,,,,,,,,,,,
T1 GOVERNADOR VALADARES-MG TASK 01,2021-05-30 11:45,53.9,100%,Race to goal,,,,,,,,,,,,,,,,,,,
T2 GOVERNADOR VALADARES-MG TASK 02,2021-05-31 11:45,69.1,99.8%,Race to goal,,,,,,,,,,,,,,,,,,,
T3 GOVERNADOR VALADARES-MG TASK 03,2021-06-01 13:05,47.1,34.8%,Race to goal,,,,,,,,,,,,,,,,,,,
T4 GOVERNADOR VALADARES-MG TASK 04,2021-06-02 11:45,64.3,100%,Race to goal,,,,,,,,,,,,,,,,,,,
T5 GOVERNADOR VALADARES-MG TASK 05,2021-06-03 12:30,70.6,100%,Race to goal,,,,,,,,,,,,,,,,,,,
T6 BAIXO GUANDU-ES TASK 01,2021-09-05 11:00,78.8,100%,Race to goal,,,,,,,,,,,,,,,,,,,
T7 BAIXO GUANDU-ES TASK 02,2021-09-06 10:50,65.6,99.7%,Race to goal,,,,,,,,,,,,,,,,,,,
T8 BAIXO GUANDU-ES TASK 03,2021-09-07 10:45,61.5,99.4%,Race to goal,,,,,,,,,,,,,,,,,,,
T9 BAIXO GUANDU-ES TASK 04,2021-09-08 12:00,65.5,100%,Race to goal,,,,,,,,,,,,,,,,,,,
T10 BAIXO GUANDU-ES TASK 05,2021-09-09 10:45,85.2,98.8%,Race to goal,,,,,,,,,,,,,,,,,,,
T11 BAIXO GUANDU-ES TASK 06,2021-09-10 10:30,100.0,99.7%,Race to goal,,,,,,,,,,,,,,,,,,,
T12 BAIXO GUANDU-ES TASK 07,2021-09-11 10:45,81.5,94.8%,Race to goal,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NR,Id,CIVLID,NOME,GENERO,NACIONALIDADE,EQUIPAMENTO,SELETE,PATROCINADOR,FEDERAÇÃO,EQUIPE,PROVA 1,PROVA 2,PROVA 3,PROVA 4,PROVA 5,PROVA 6,PROVA 7,PROVA 8,PROVA 9,PROVA 10,PROVA 11,PROVA 12,TOTAL
1,125,125,RAFAEL MONTEIRO SALADINI,M,BRA,[CCC] OZONE ENZO 3,Sol CX Max,OZONE PARAGLIDERS,FVLERJ,SOL CX MAX,430/898,993,110,962,998,973,942,994,865,982,996,848,8270
