NOME,EQUIPAMENTO,TOTAL,2021_GV_PROVA1,2021_GV_PROVA2,2021_GV_PROVA3,2021_GV_PROVA4,2021_GV_PROVA5,2021_BG_PROVA1,2021_BG_PROVA2,2021_BG_PROVA3,2021_BG_PROVA4,2021_BG_PROVA5,2021_BG_PROVA6,2021_BG_PROVA7
RAFAEL MONTEIRO SALADINI,[CCC] OZONE ENZO 3,8270,898,993,110,962,998,973,942,994,865,982,996,848
RAFAEL DE MORAES BARROS,[CCC] NIVIUK ICEPEAK X-ONE,8269,904,988,347,987,828,977,988,988,866,976,997,847
GILMAR DE JESUS COUTO,[CCC] OZONE ENZO 3,8219,1000,998,305,1000,711,972,987,465,349,979,918,935
LUCIANO HORN,[CCC] OZONE ENZO 3,8201,897,978,348,940,1000,983,915,984,867,173,974,926
CAIO HENRIQUE BUZZARELLO,[CCC] OZONE ENZO 3,8195,901,990,348,950,819,933,997,992,865,981,100,948
TULIO SUBIRA COUTINHO,[Serial] FLOW XC RACER,8178,889,988,64,847,613,966,933,980,967,959,967,946
MARCELO WICKERT,[CCC] OZONE ENZO 3,8110,887,995,326,511,996,862,932,959,868,985,965,907
ERICO OLIVEIRA,[CCC] NIVIUK ICEPEAK EVOX,8059,903,988,302,950,825,911,933,951,870,958,969,920
GILBERTO FERREIRA RAPOSO,[CCC] OZONE ENZO 3,8050,891,983,327,938,783,962,930,964,865,964,922,897
MARCELLA POMARICO UCHOA,[CCC] OZONE ENZO 3,8045,891,949,340,931,996,958,914,952,855,963,926,823
RONNIE KOERICH,[Serial] GIN LEOPARD,7997,900,925,316,950,991,884,967,938,850,939,692,912
MARTINHO RIBEIRO MORAIS,[CCC] OZONE ENZO 3,7902,893,983,47,842,824,974,973,945,821,305,967,898
LUIZ CEZAR DIAS,[CCC] OZONE ENZO 3,7817,875,992,216,937,699,716,936,813,507,979,983,922
DOUGLAS DALLABONA,[CCC] OZONE ENZO 3,7699,883,955,47,848,470,960,912,926,940,171,748,888
ROGERIO SANTOS FELIX,[Serial] FLOW XC RACER,7676,890,721,225,939,330,888,911,839,952,971,707,906
LEONARDO SILVEIRA MACHADO,[CCC] OZONE ENZO 3,7652,874,988,216,846,864,935,882,771,908,883,885,844
MARIO DE QUEIROZ MONTEIRO,[CCC] OZONE ENZO 3,7618,841,721,47,958,786,983,971,980,460,34,895,831
CRISTIANO RICCI DA SILVA,[CCC] FLOW SPECTRA,7513,900,984,47,948,602,973,919,195,499,966,704,803
MAURICIO MARTINS DE ALBUQUERQUE,[CCC] FLOW SPECTRA,7494,893,512,46,852,421,956,909,976,855,887,254,896
DEONIR SPANCERSKI,[CCC] NIVIUK ICEPEAK X-ONE,7431,892,674,47,840,760,881,908,795,862,264,939,921
