NOME,EQUIPAMENTO,TOTAL,2022_GV_PROVA1,2022_GV_PROVA2,2022_GV_PROVA3,2022_GV_PROVA4,2022_GV_PROVA5,2022_GV_PROVA6,2022_GV_PROVA7,2022_SAA_PROVA1,2022_SAA_PROVA2,2022_SAA_PROVA3
GILMAR DE JESUS COUTO,[PRO] OZONE ENZO 3 - AZUL AMARELO,7371,1000,978,999,980,835,973,676,957,8,980
RAFAEL DE MORAES BARROS,[PRO] NIVIUK X-ONE - PRETO BRANCO VERMELHA,7332,904,984,975,999,150,953,984,841,14,976
LUCIANO HORN,[PRO] OZONE ENZO 3 - PRETO E AZUL,7292,905,993,983,973,221,957,961,933,36,941
MARCELLA POMARICO UCHOA,[PRO] OZONE ENZO 3 - AZUL ROSA,7274,902,954,983,955,787,956,929,974,13,969
ERICO OLIVEIRA,[PRO] NIVIUK X-ONE - PRETO/VERDE,7249,906,982,972,992,953,983,929,829,11,0
RAFAEL MONTEIRO SALADINI,[PRO] OZONE ENZO 3 - AZUL E LILAS,7245,910,996,591,982,973,992,970,823,14,989
LUCAS ADRIANO RUDIGER RIBAS,[PRO] NIVIUK X-ONE - LARANJA,7180,904,898,604,943,49,956,966,955,15,984
RONNIE KOERICH,[PRO] NIVIUK X-ONE - PRETO,7111,913,869,618,958,752,932,925,979,15,967
TULIO SUBIRA COUTINHO,[PRO] FLOW SPECTRA 2 - BRANCO,7034,900,952,612,863,945,946,954,921,13,949
DEONIR SPANCERSKI,[PRO] OZONE ENZO 3 - AMARELO,6965,892,865,967,944,0,918,958,855,36,457
GILBERTO FERREIRA RAPOSO,[PRO] OZONE ENZO 3 - AZUL LARANJA,6928,894,985,979,872,0,936,31,777,8,937
MARIO DE QUEIROZ MONTEIRO,[PRO] NIVIUK X-ONE - BRANCA,6889,865,993,255,928,775,0,878,860,8,977
SAMUEL NASCIMENTO,[PRO] OZONE ENZO 3 - VERDE AMARELO,6869,909,876,379,201,1000,977,57,993,0,1000
ROGERIO SANTOS FELIX,[ASPIRANTE] OZONE ZENO 2 - AMARELO,6854,878,902,611,957,457,925,937,975,13,408
WASHINGTON LUIZ PERUCHI,[PRO] NIVIUK X-ONE - AZUL,6827,889,885,964,22,389,935,961,855,11,980
WALTER MORAES DE OLIVEIRA FILHO,[PRO] OZONE ENZO 3 - AZUL ROXO,6795,912,986,600,981,812,879,613,908,10,533
ALEXANDRE DIO GERMANI,[PRO] NIVIUK X-ONE - AZUL E BRANCO,6779,901,875,590,961,47,936,31,833,13,983
LUCILEI DAL POZZO,[ASPIRANTE] OZONE ZENO 2 - AZUL AMARELO PRETO,6729,854,713,587,915,889,927,970,843,14,469
HILTON RONALD ALICE BENKE,[PRO] OZONE ENZO 3 - AZUL ROXO,6708,762,845,595,948,804,909,915,875,10,956
EMERSON AUGUSTO BUENO DE MIRANDA,[PRO] NIVIUK X-ONE - AZUL,6681,895,900,953,955,0,871,391,0,14,946
