NOME,EQUIPAMENTO,TOTAL,2023_GV_PROVA1,2023_GV_PROVA2,2023_GV_PROVA3,2023_GV_PROVA4,2023_GV_PROVA5,2023_GV_PROVA6,2023_AX_PROVA1,2023_AX_PROVA2,2023_AX_PROVA3,2023_AX_PROVA4
ERICO OLIVEIRA,NIVIUK X-ONE - PRETO/VERDE,7099,910,602,996,571,662,987,985,978,977,986
MARTINHO RIBEIRO MORAIS,NIVIUK X-ONE - LARANJA,7021,858,995,956,565,825,903,921,971,935,974
LUCIANO HORN,OZONE ENZO 3 - PRETO E AZUL,6944,853,631,963,840,809,910,984,987,586,989
LUCAS ADRIANO RUDIGER RIBAS,NIVIUK X-ONE - AMARELO,6758,469,587,958,570,131,997,980,976,984,979
LUCILEI DAL POZZO,OZONE ZENO 2 - AZUL VERDE PRT,6613,807,581,923,331,785,787,901,949,948,966
RONNIE KOERICH,NIVIUK X-ONE - AZUL,6596,855,584,947,548,980,682,936,969,609,975
MARCELO SILVA E MELO,NIVIUK X-ONE - AZUL / VERDE / BRANCO,6558,551,596,973,532,154,905,983,962,976,908
TULIO SUBIRA,FLOW XC RACER 2 - VERDE/ROSA,6522,871,597,946,567,129,605,942,956,945,974
MAYCON DE SOUZA DOS SANTOS,OZONE ENZO 3 - AZUL LARANJA,6492,507,572,973,550,808,981,948,958,262,977
LEOZINHO MACHADO,FLOW SPECTRA 2 - VERMELHO,6490,849,778,588,227,976,885,926,952,591,877
WASHINGTON LUIZ PERUCHI,NIVIUK X-ONE - AMARELO,6461,848,632,964,542,820,416,986,996,553,967
RAFAEL SALADINI,OZONE ENZO 3 - LIME GRAY,6436,864,636,990,573,221,775,974,962,131,968
HILTON RONALD ALICE BENKE,OZONE ENZO 3 - AZUL / ROXO,6426,792,578,950,220,743,911,872,950,596,962
PABLO VIEIRA TOMÁS,OZONE ENZO 3 - CINZA E ROXO,6421,818,574,835,537,667,503,956,964,976,952
ARTHUR GRANDINI RODELLA,OZONE ZENO 2 - VERMELHO/AMARELO,6310,752,577,755,220,903,0,918,903,949,887
MANOEL CANDIDO ALVES JUNIOR,OZONE ENZO 3 - AMARELO VERMELH,6270,834,563,934,595,679,778,934,951,281,888
MOKA MOISES SODRE,GIN BOOMERANG 12 - BLUE/GRAY,6048,302,600,320,549,686,744,918,942,916,972
MAICON DANIEL DE SOUZA CORREA,GIN BOOMERANG 12 - CINZA/ VERMELHO/BRANCO,6024,803,738,774,585,203,890,911,809,600,829
WALTER MORAES DE OLIVEIRA FILHO,OZONE ENZO 3 - AMARELO ROSA,5926,752,636,939,559,338,896,912,934,564,27
JARBAS MELLO,OZONE ENZO 3 - AZUL E LIMAO,5912,565,355,924,262,209,561,974,877,881,979
