NOME,EQUIPAMENTO,TOTAL,2024_CA_PROVA1,2024_CA_PROVA2,2024_AX_PROVA1,2024_AX_PROVA2,2024_AX_PROVA3,2024_AX_PROVA4,2024_AX_PROVA5
RAFAEL DE MORAES BARROS,Niviuk XOne - Vermelha / preta / branca,5151,976,975,954,993,879,969,986
WASHINGTON PERUCHI,Niviuk XOne - Laranja,5130,550,834,984,991,997,975,984
RICHARD PETHIGAL,Ozone Enzo 3 - Verde/cinza,5115,956,972,977,992,845,978,992
ERICO OLIVEIRA,Niviuk XOne - Amarelo,5062,899,760,975,989,852,987,990
RONNIE KOERICH,Niviuk XOne - AZUL/PINK,5051,565,972,961,965,807,971,987
TULIO SUBIRA COUTINHO,Flow XCRacer 2 - vermelho,5031,547,994,908,987,770,971,984
CLAUDINHO MATOS,Ozone Zeno 2 - Amarela com azul,4997,917,955,866,943,726,970,984
DEONIR SPANCERSKI,Niviuk XOne - Amarelo,4957,897,358,973,970,635,968,983
LUCIANO HORN,Ozone Enzo 3 - Lima e Cinza,4944,562,844,948,989,822,978,986
SÉRGIO HENRIQUE SAMPAIO,Niviuk XOne - Amarela,4935,531,976,948,909,824,981,989
HILTON RONALD ALICE BENKE,Ozone Enzo 3 - Azul Laranja,4931,539,808,984,982,807,974,988
MARTINHO RIBEIRO MORAIS,Niviuk XOne - Vermelho /branco,4885,0,825,932,974,820,974,982
MARCELO PRIETO,Ozone Enzo 3 - Branca e azul,4853,915,801,921,985,770,950,873
JARBAS MELLO,Ozone Enzo 3 - Blue/lime,4652,909,289,935,12,799,969,964
CRISTIANO RICCI DA SILVA,Ozone Enzo 3 - Azul,4634,0,0,935,967,840,969,922
MARCELLA POMARICO UCHOA,Ozone Enzo 3 - Branco e roxo,4633,969,966,921,769,568,950,222
MARCELO SILVA E MELO,Niviuk XOne - Azul e Verde,4554,0,0,880,976,803,904,989
EDUARDO VARGAS PEIRAO,Ozone Zeno 2 - Azul e amarelo,4368,544,339,899,706,774,948,908
DASANYHEV DE SOUZA CARDOSO,Ozone Zeno 2 - Amarelo,4360,876,787,137,936,199,963,743
TONY CESAR MENDES NEGREIROS,Niviuk XOne - Amarelo,4291,590,359,965,0,839,965,839
