Id,Name,,Nat,Glider,Harnesses,Sponsor,Team,Club,Fed.,T 1,T 2,T 3,T 4,T 5,T 6,T 7,Total,
1,11963,RAFAEL DE MORAES BARROS,M,BRA,Niviuk XOne - Vermelha / preta / branca,Ozone Submarine,NIVIUK BRASIL / AIR 3,Niviuk Brasil,CVLG - CLUBE DE VOO LIVRE GAVIÃO,FPVL - FEDERAÇÃO PAULISTA DE VOO LIVRE,976.1,975.7,250.5/954.4,993.1,879.1,969.6,986.0,5151.0
2,2435,WASHINGTON PERUCHI,M,BRA,Niviuk XOne - Laranja,Ozone Submarine,ISY CONSTRUTORA,,CVLG - CLUBE DE VOO LIVRE GAVIÃO,FPVL - FEDERAÇÃO PAULISTA DE VOO LIVRE,550.0,197.6/834.9,984.8,991.1,997.6,975.2,984.1,5130.4
3,10136,RICHARD PETHIGAL,M,BRA,Ozone Enzo 3 - Verde/cinza,Ozone Submarine,"PAZ MUNDIAL, ALFA PILOT, FLOW",Equipe SC,LCVL - LAGOA CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,95.6,972.8,977.4,992.5,202.2/845.7,978.9,992.1,5115.9
4,14765,ERICO OLIVEIRA,M,BRA,Niviuk XOne - Amarelo,Ozone Submarine,ACTIONFLY RIO / NIVIUK BR / CSCVL,Niviuk Brasil,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,899.7,760.8,975.7,989.3,219.6/852.8,987.3,990.9,5062.5
5,5101,RONNIE KOERICH,M,BRA,Niviuk XOne - AZUL/PINK,Ozone Submarine,VORTEX PARAGLIDING / ROTORVARIO,Vortex Racing Team,CDC - CLUBE DA CORDILHEIRA,FVLP - FEDERAçãO DE VOO LIVRE DO PARANá,565.9,972.1,961.8,965.4,193.1/807.7,971.2,987.6,5051.2
6,26728,TULIO SUBIRA COUTINHO,M,BRA,Flow XCRacer 2 - vermelho,Ozone Submarine,FLOW PARAGLIDER / ADVENTURE PLANET/BOX911/JETHOLIC,Equipe Flow XcRacer 2,CLVL - CLUBE LEOPOLDINENSE DE VOO LIVRE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,547.4,994.5,908.9,987.5,184.2/770.3,971.8,984.6,5031.5
7,68337,CLAUDINHO MATOS,M,BRA,Ozone Zeno 2 - Amarela com azul,Gin Genie Race 5,Brex,Cajus Cariocas,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,917.0,955.5,227.3/866.0,943.1,726.8,970.5,984.2,4997.6
8,10032,DEONIR SPANCERSKI,M,BRA,Niviuk XOne - Amarelo,Ozone Submarine,Eu mesmo,Vortex Racing Team,AVLNP - ASSOCIAÇAO DE VOO LIVRE NORTE DO PARANá,FVLP - FEDERAçãO DE VOO LIVRE DO PARANá,897.6,358.8,973.0,970.9,163.7/635.5,968.4,983.4,4957.0
9,5105,LUCIANO HORN,M,BRA,Ozone Enzo 3 - Lima e Cinza,Ozone Submarine,PRO ESPORTE RS / FAMILIA GEISSE / OZONE / AIR 3,Ozone,AGVL - ASSOCIAÇÃO GAÚCHA DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,562.2,844.9,948.7,989.4,196.6/822.4,978.0,986.7,4944.3
10,10029,SÉRGIO HENRIQUE SAMPAIO,M,BRA,Niviuk XOne - Amarela,Ozone Submarine,Nenhum,,CSVL - CLUBE SANTARRITENSE DE VOO LIVRE,FPVL - FEDERAÇÃO PAULISTA DE VOO LIVRE,129.9/531.4,976.8,948.4,909.9,82.4,981.2,989.7,4935.9
11,39999,HILTON RONALD ALICE BENKE,M,BRA,Ozone Enzo 3 - Azul Laranja,Gin Genie Race 5,ALTAMONTANHA - LA SPORTIVA,Vortex Racing Team,AVLNP - ASSOCIAÇAO DE VOO LIVRE NORTE DO PARANá,FVLP - FEDERAçãO DE VOO LIVRE DO PARANá,539.7,808.3,984.7,982.8,193.0/807.1,974.4,988.7,4931.9
12,4729,MARTINHO RIBEIRO MORAIS,M,BRA,Niviuk XOne - Vermelho /branco,Ozone Submarine,ART CON BLOCOS/ILDEMARI TECIDOS,,CSMVL - CLUBE SUL MINEIRO DE VOO LIVRE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,0.0,825.5,932.7,974.3,196.1/820.3,974.6,982.3,4885.5
13,418,MARCELO PRIETO,M,BRA,Ozone Enzo 3 - Branca e azul,Sol CX Max,SOL PARAGLIDERS / VENTO SUL,Ozone,GPC - GOIASES PARAPENTE CLUBE,FGVL - FEDERAÇÃO GOIANA DE VOO LIVRE,915.7,207.2/801.9,921.4,985.3,770.1,950.1,873.7,4853.4
14,18150,JARBAS MELLO,M,BRA,Ozone Enzo 3 - Blue/lime,Ozone Submarine,PRO ESPORTE RS / FAMILIA GEISSE / ART DRAW,Ozone,AGVL - ASSOCIAÇÃO GAÚCHA DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,909.7,73.4/289.0,935.5,12.7,799.6,969.8,964.1,4652.1
15,4712,CRISTIANO RICCI DA SILVA,M,BRA,Ozone Enzo 3 - Azul,Ozone Submarine,PREFEITURA MUNICIPAL DE POçOS DE CALDAS,,CPVL - CLUBE POÇOS-CALDENSE DE VOO LIVRE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,0.0,0.0,935.3,967.0,840.4,969.2,922.6,4634.5
16,29846,MARCELLA POMARICO UCHOA,F,BRA,Ozone Enzo 3 - Branco e roxo,Ozone Submarine,"Ozone, Soitic, Prefeitura de Poços de Caldas, Air3",,CPVL - CLUBE POÇOS-CALDENSE DE VOO LIVRE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,969.2,966.8,921.2,769.2,56.8,950.1,57.0/222.0,4633.5
17,4714,MARCELO SILVA E MELO,M,BRA,Niviuk XOne - Azul e Verde,Ozone Submarine,YOUR CLIENT CAN SEE YOUR NAME HERE,Niviuk Brasil,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,0.0,0.0,880.4,976.7,803.7,904.5,989.2,4554.5
18,23359,EDUARDO VARGAS PEIRAO,M,BRA,Ozone Zeno 2 - Azul e amarelo,Sol Cx Max,"CK, LAMON, SANTA COSTA, AP1R",Equipe SC,APIR - ASSOCIAÇÃO DE PARAPENTE DE ITAJAÍ E REGIÃO,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,131.2/544.1,339.9,899.6,706.4,774.2,948.6,908.4,4368.4
19,15570,DASANYHEV DE SOUZA CARDOSO,M,BRA,Ozone Zeno 2 - Amarelo,Woody Valley XR7,*,Capixaba Team,AVLAC - ASSOCIAÇÃO DE VOO LIVRE DE ALFREDO CHAVES,FCVL - FEDERAÇÃO CAPIXABA DE VOO LIVRE,876.2,787.9,137.3,936.6,52.4/199.1,963.8,743.4,4360.3
20,12414,TONY CESAR MENDES NEGREIROS,M,BRA,Niviuk XOne - Amarelo,Ozone Submarine,Mi,,CVLSL - CLUBE DE VOO LIVRE DE SÃO LOURENÇO,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,590.3,91.1/359.0,965.6,0.0,839.2,965.4,839.6,4291.2
21,12446,DOUGLAS DALLABONA,M,BRA,Niviuk XOne - PRETO,Gin Genie Race 4,WDF VENDAS - PSICÓLOGA FRANCIELLE HARTMANN - VORTEX PARAGLIDERS,Vortex Racing Team,TCVL - TIMBÓ CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,575.2,831.4,874.2,933.7,59.1/231.8,957.1,22.3,4230.7
22,14866,ELISA PEREIRA EISENLOHR,F,BRA,Ozone Enzo 3 - Amarela Limao,Gin Genie Race 2,no momento nenhum,Carcará,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,903.0,796.0,235.0,950.2,103.1/392.1,937.3,520.6,4210.2
23,17563,RODOLFO PASCOAL LADEIRA,M,BRA,Ozone Zeno 2 - Azul,Woody Valley XR7,CSCVL,Carcará,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,899.4,795.0,116.7/444.7,935.7,42.4,935.3,484.4,4166.5
